sample_id,article_id,h2_number,category,frame_path,draft_path,vlm_visible,vlm_confidence,vlm_location,vlm_description,human_visible,human_confidence,human_verdict,comparison_label,neg_hit_count,has_uap_object_neg,revision_suggestion,risk_level,human_review_required,next_action,notes
vlm_0019,R02-031,#2_031,C_no_visible_target,data/vlm_eval_set/20260625/images/vlm_0019_DOW-UAP-PR044_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,note_drafts/ai_summary_DOW-UAP-PR044_Unresolved_UAP_Report_Middle_East_2020_note_version.md,True,0.7,中央,不明瞭な形状の暗い物体、背景との明確な区別は困難。,True,0.6,label_error,Partial Match / Description Gap,8,True,【修正候補】中央付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0033,R02-036,#2_036,C_no_visible_target,data/vlm_eval_set/20260625/images/vlm_0033_DOW-UAP-PR049_Unresolved_UAP_Report_Department_of_the_Army_2026_frame_0000.png,note_drafts/ai_summary_DOW-UAP-PR049_Unresolved_UAP_Report_Department_of_the_Army_2026_note_version.md,True,0.7,中央,白い線と点の集合、背景との明確な区別,True,0.6,label_error,Partial Match,6,True,【修正候補】中央付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0045,R02-040,#2_040,C_no_visible_target,data/vlm_eval_set/20260625/images/vlm_0045_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0000.png,note_drafts/ai_summary_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_note_version.md,True,0.7,中央上部,赤い線状の光、背景との明確な区別あり。,True,0.9,label_error,Match,7,True,【修正候補】中央上部付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0046,R02-040,#2_040,C_no_visible_target,data/vlm_eval_set/20260625/images/vlm_0046_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0005.png,note_drafts/ai_summary_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_note_version.md,True,0.7,中央やや左上,小さな光点、背景と明確に区別できる,True,0.85,label_error,Match,7,True,【修正候補】中央やや左上付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0047,R02-040,#2_040,C_no_visible_target,data/vlm_eval_set/20260625/images/vlm_0047_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_frame_0010.png,note_drafts/ai_summary_FBI-UAP-PR004_Northeastern_Orb_Sighting_2025_note_version.md,True,0.7,中央やや上部,赤い光点、周囲は暗く、背景との明確な区別,True,0.8,label_error,Match,7,True,【修正候補】中央やや上部付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0049,R02-041,#2_041,D_sensor_ui_background,data/vlm_eval_set/20260625/images/vlm_0049_FBI-UAP-PR005_Digital_Recreation_Narrative_Statement_3-1_Western_United_States_Event_2023_frame_0030.png,note_drafts/ai_summary_FBI-UAP-PR005_Digital_Recreation_Narrative_Statement_3-1_Western_United_States_Event_2023_note_version.md,True,0.8,右上,黄色い球体、背景に星が見える,True,0.9,label_error,Partial Match / Missed Secondary Objects,5,True,【修正候補】右上付近に対象候補が確認できます。ただし、単一または少数フレームの目視確認であり、対象の性質・移動・正体を断定することはできません。追加フレームおよび専門的分析が必要です。,HIGH,True,人間目視確認済み。記事内NEG表現と矛盾。note_draftのNEG表現を人間が確認し、必要に応じて慎重表現で修正。,
vlm_0001,R02-025,#2_025,E_known_miss_case,data/vlm_eval_set/20260625/images/vlm_0001_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0030.png,note_drafts/ai_summary_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_note_version.md,True,0.75,中央,不明瞭な輝点、周囲に放射状のパターン,,,,,8,True,【修正候補（VLMのみ）】中央付近に不明瞭な輝点、周囲に放射状のパターンが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0002,R02-025,#2_025,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0002_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0000.png,note_drafts/ai_summary_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_note_version.md,True,0.7,中央やや右上,小さな光点、背景より明るく、円形に近い。,,,,,8,True,【修正候補（VLMのみ）】中央やや右上付近に小さな光点、背景より明るく、円形に近い。が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0003,R02-025,#2_025,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0003_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0005.png,note_drafts/ai_summary_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_note_version.md,True,0.7,中央やや下,不明瞭な光点、背景との明確な区別が難しい,,,,,8,True,【修正候補（VLMのみ）】中央やや下付近に不明瞭な光点、背景との明確な区別が難しいが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0004,R02-025,#2_025,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0004_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0010.png,note_drafts/ai_summary_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_note_version.md,True,0.7,中央やや下,小さな光点、背景より明るく、形状は不明瞭。,,,,,8,True,【修正候補（VLMのみ）】中央やや下付近に小さな光点、背景より明るく、形状は不明瞭。が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0022,R02-032,#2_032,B_small_unclear,data/vlm_eval_set/20260625/images/vlm_0022_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,note_drafts/ai_summary_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_note_version.md,True,0.75,中央上部,紫色の楕円形で、背景より明るい。,,,,,6,True,【修正候補（VLMのみ）】中央上部付近に紫色の楕円形で、背景より明るい。が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0023,R02-032,#2_032,B_small_unclear,data/vlm_eval_set/20260625/images/vlm_0023_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0005.png,note_drafts/ai_summary_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_note_version.md,True,0.8,中央上部,紫色の光と黒い矩形の組み合わせ,,,,,6,True,【修正候補（VLMのみ）】中央上部付近に紫色の光と黒い矩形の組み合わせが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0024,R02-032,#2_032,B_small_unclear,data/vlm_eval_set/20260625/images/vlm_0024_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_frame_0010.png,note_drafts/ai_summary_DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020_note_version.md,True,0.8,中央上部,ピンク色の光と周囲の黒い矩形,,,,,6,True,【修正候補（VLMのみ）】中央上部付近にピンク色の光と周囲の黒い矩形が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0025,R02-033,#2_033,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0025_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_frame_0000.png,note_drafts/ai_summary_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_note_version.md,True,0.7,中央やや右上,不明瞭な形状、暗い背景に浮かび上がる,,,,,8,True,【修正候補（VLMのみ）】中央やや右上付近に不明瞭な形状、暗い背景に浮かび上がるが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0026,R02-033,#2_033,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0026_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_frame_0005.png,note_drafts/ai_summary_DOW-UAP-PR046_Unresolved_UAP_Report_INDOPACOM_2024_note_version.md,True,0.7,中央やや上部,不明瞭な形状、暗い背景に浮かび上がる,,,,,8,True,【修正候補（VLMのみ）】中央やや上部付近に不明瞭な形状、暗い背景に浮かび上がるが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0029,R02-034,#2_034,B_small_unclear,data/vlm_eval_set/20260625/images/vlm_0029_DOW-UAP-PR047_Unresolved_UAP_Report_INDOPACOM_2023_frame_0010.png,note_drafts/ai_summary_DOW-UAP-PR047_Unresolved_UAP_Report_INDOPACOM_2023_note_version.md,True,0.7,中央,小さな光点、背景より明るい。,,,,,7,True,【修正候補（VLMのみ）】中央付近に小さな光点、背景より明るい。が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0037,R02-037,#2_037,B_small_unclear,data/vlm_eval_set/20260625/images/vlm_0037_FBI-UAP-PR001_Triangle_Orbs_Northeastern_United_States_2021_frame_0030.png,note_drafts/ai_summary_FBI-UAP-PR001_Triangle_Orbs_Northeastern_United_States_2021_note_version.md,True,0.7,中央やや下,小さな白い光、背景との明確な区別あり,,,,,8,True,【修正候補（VLMのみ）】中央やや下付近に小さな白い光、背景との明確な区別ありが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0039,R02-038,#2_038,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0039_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0000.png,note_drafts/ai_summary_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_note_version.md,True,0.7,中央やや上,赤い光点、周囲は完全に暗闇,,,,,9,True,【修正候補（VLMのみ）】中央やや上付近に赤い光点、周囲は完全に暗闇が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0040,R02-038,#2_038,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0040_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0030.png,note_drafts/ai_summary_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_note_version.md,True,0.7,中央やや右上,赤い光の球体、背景との明確な区別あり,,,,,9,True,【修正候補（VLMのみ）】中央やや右上付近に赤い光の球体、背景との明確な区別ありが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0041,R02-038,#2_038,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0041_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_frame_0060.png,note_drafts/ai_summary_FBI-UAP-PR002_Red_Orb_Rotation_Northeastern_United_States_2022_note_version.md,True,0.7,中央やや左上,赤い円形の光、周囲は暗く背景との对比が強い,,,,,9,True,【修正候補（VLMのみ）】中央やや左上付近に赤い円形の光、周囲は暗く背景との对比が強いが確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
vlm_0042,R02-039,#2_039,A_clear_candidate,data/vlm_eval_set/20260625/images/vlm_0042_FBI-UAP-PR003_Orbs_Over_the_Pond_2024_frame_0000.png,note_drafts/ai_summary_FBI-UAP-PR003_Orbs_Over_the_Pond_2024_note_version.md,True,0.7,中央上部,白い光点、周囲は暗く、背景との明確な区別がある。,,,,,7,True,【修正候補（VLMのみ）】中央上部付近に白い光点、周囲は暗く、背景との明確な区別がある。が確認される可能性があります。ただし、本候補はローカルVLM（Qwen2.5-VL-7B）による自動解析であり、人間による目視確認が必要です。断定的な記述は避けてください。,MEDIUM,True,VLM検出あり + 記事にUAP対象NEG表現。人間目視確認後、矛盾があれば慎重表現で修正候補を検討。,
