article_id,h2_number,sample_ids,published_date,published_url,evolution_status,decision,priority,human_review_required,human_review_done,human_review_date,vlm_visible,human_visible,human_confidence,comparison_label,has_uap_object_neg,risk_level,modification_target_section,modification_draft,next_action,notes
R02-025,#2_025,"vlm_0001,vlm_0002,vlm_0003,vlm_0004",2026-06-25,https://note.com/deft_ibis3303/n/n3dc708c1b0d2,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-031,#2_031,"vlm_0019,vlm_0021",2026-06-25,https://note.com/deft_ibis3303/n/n13b35811cd88,no_change,No Change,Low,false,false,,true,true,0.90,False Positive / Acceptable | Partial Match / Description Gap,true,HIGH,,,評価セット・人間GT・記事本文を突合した結果、修正不要。,label_error(評価セット誤り)またはFalse Positive確定。記事は正確。
R02-032,#2_032,"vlm_0022,vlm_0023,vlm_0024",2026-06-25,https://note.com/deft_ibis3303/n/nb549e7085e99,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-033,#2_033,"vlm_0025,vlm_0026",2026-06-25,https://note.com/deft_ibis3303/n/ne2bde634077f,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-034,#2_034,vlm_0029,2026-06-25,https://note.com/deft_ibis3303/n/n89154c76966d,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-036,#2_036,vlm_0033,2026-06-25,https://note.com/deft_ibis3303/n/n7f3e1e4c13a4,pending,Detailed Edition,Medium,false,false,,true,true,0.60,Partial Match,true,HIGH,注意点セクション（時刻・カバレッジ補完）,,評価セットラベル誤りまたはカバレッジ補完候補。詳細解析版で反映推奨。,Partial Match / Match等。記事は概ね正確だが補完候補あり。
R02-037,#2_037,vlm_0037,2026-06-25,https://note.com/deft_ibis3303/n/n4b17d617cfdf,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-038,#2_038,"vlm_0039,vlm_0040,vlm_0041",2026-06-25,https://note.com/deft_ibis3303/n/n4cee00744535,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-039,#2_039,"vlm_0042,vlm_0043,vlm_0044",2026-06-25,https://note.com/deft_ibis3303/n/n5f020bdc32ff,pending,Detailed Edition,Low,false,false,,True,,,,true,MEDIUM,,,MEDIUM候補（人間GT未確認）。詳細解析版で確認推奨。,MEDIUM。GT未確認。
R02-040,#2_040,"vlm_0045,vlm_0046,vlm_0047",2026-06-25,https://note.com/deft_ibis3303/n/n80cbaad6d119,pending,Detailed Edition,Medium,false,false,,true,true,0.90,Match,true,HIGH,注意点セクション（時刻・カバレッジ補完）,,評価セットラベル誤りまたはカバレッジ補完候補。詳細解析版で反映推奨。,Partial Match / Match等。記事は概ね正確だが補完候補あり。
R02-041,#2_041,vlm_0049,2026-06-25,https://note.com/deft_ibis3303/n/n4b934f3c9fab,done,Observation Update,High,true,true,2026-06-26,true,true,0.90,Partial Match / Missed Secondary Objects,true,HIGH,視覚情報セクション frame_0030 + フレームキャプション,黄色〜オレンジ色球体右側の赤い光点2個（CGIオブジェクトとみられる）,完了。note.com記事を人間が修正・再公開済み（2026-06-26）。,観察情報の補完。事実誤認なし。元映像確認済み2026-06-26。note_draftに【2026-06-26追記】追加済み。note上の表現はdraftと完全一致ではないが内容同等（黄色〜オレンジ色球体・赤い光点2個・CGI/圧縮アーティファクト留保）。note_update_done:true note_update_date:2026-06-26
