pdf_file,page_number,has_text_layer,extracted_char_count,sample_text,ocr_needed,reason,notes
059uap00011.pdf,1,true,1447,"COMFIDEMTIAL IUNCLASSI Fl ED CONFIDEN'flAL MRN: 01 MOSCOW 13169 Date/DTG: Oct 30, 2001 / 300000Z Oct 01 From: AMEMBASSY …",false,embedded text sufficient (1447 chars),"text layer present, OCR not needed"
059uap00011.pdf,2,true,2700,COt~FIDDHIAL IUNCLASSI FlED KIND CLASSIFIED BY POLMINCOUNS GEORGE KROL. REASON 1.5 (B/D). REF: (A) MOSCOW 13072 (B) TBIL…,false,embedded text sufficient (2700 chars),"text layer present, OCR not needed"
059uap00011.pdf,3,true,2414,"COt~FIDDHIAL IUNCLASSI Fl ED ANYONE,"" TEREOKEN ADDED THAT IT WAS POSSIBLE THAT ""ANY SIDE"" HAD SENT PLANES OVER KODORI. 4…",false,embedded text sufficient (2414 chars),"text layer present, OCR not needed"
059uap00011.pdf,4,true,1816,COt~FIDDHIAL IUNCLASSI Fl ED FM AMEMBASSY MOSCOW TO SECSTATE WASHDC PRIORITY 1143 INFO AMEMBASSY TBILISI PRIORITY USMISS…,false,embedded text sufficient (1816 chars),"text layer present, OCR not needed"
059uap00011.pdf,5,true,114,COt~FIDDHIAL INCLASSIFIED Dissemination Rule: Archive Copy OONFIDENTIJl!cL IUNCLASSI FlED COMFIDEMTIAL Page 5 of 5,false,embedded text sufficient (114 chars),"text layer present, OCR not needed"
059uap00012.pdf,1,true,1183,"UNCLASSIFIED Sitt, UNCLASSIFIED 9ffi:,"" UNCLASSIFIED Sitt, MRN: 04 ASHGABAT 1028 Date/DTG: Nov 12, 2004 / 1208512 NOV 04…",false,embedded text sufficient (1183 chars),"text layer present, OCR not needed"
059uap00012.pdf,2,true,2565,"UNCLASSIFIED Sitt, UFOiogists of Turkmenabat has established a reputation as a reliable NGO partner for a variety of act…",false,embedded text sufficient (2565 chars),"text layer present, OCR not needed"
059uap00012.pdf,3,true,2187,"UNCLASSIFIED Sitt, activities from sport, to youth, to business consulting. The Union has over 1000 members including so…",false,embedded text sufficient (2187 chars),"text layer present, OCR not needed"
059uap00012.pdf,4,true,1613,"UNCLASSIFIED Sitt, 10. ~ USAID was presented with a grant proposal by the UOU for a $30k grant for printing equipment fo…",false,embedded text sufficient (1613 chars),"text layer present, OCR not needed"
059uap00012.pdf,5,true,87,"UNCLASSIFIED Sitt, UNCLASSIFIED 9ffi:,"" Released in Full UNCLASSIFIED Sitt, Page 5 of 5",false,embedded text sufficient (87 chars),"text layer present, OCR not needed"
