sample_id,category,article_id,h2_number,image_path,visible_candidate,confidence,location,description,visual_confirmation_only,speculation,response_time_sec,parse_success,raw_response
vlm_0001,E_known_miss_case,R02-025,#2_025,data/vlm_eval_set/20260625/images/vlm_0001_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0030.png,True,0.75,中央,不明瞭な輝点、周囲に放射状のパターン,True,False,0.97,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.75,
  ""location"": ""中央"",
  ""description"": ""不明瞭な輝点、周囲に放射状のパターン"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0002,A_clear_candidate,R02-025,#2_025,data/vlm_eval_set/20260625/images/vlm_0002_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0000.png,True,0.7,中央やや右上,小さな光点、背景より明るく、円形に近い。,True,False,0.89,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや右上"",
  ""description"": ""小さな光点、背景より明るく、円形に近い。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0003,A_clear_candidate,R02-025,#2_025,data/vlm_eval_set/20260625/images/vlm_0003_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0005.png,True,0.7,中央やや下,不明瞭な光点、背景との明確な区別が難しい,True,False,5.28,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや下"",
  ""description"": ""不明瞭な光点、背景との明確な区別が難しい"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0004,A_clear_candidate,R02-025,#2_025,data/vlm_eval_set/20260625/images/vlm_0004_DOW-UAP-PR038_Unresolved_UAP_Report_Middle_East_2013_frame_0010.png,True,0.7,中央やや下,小さな光点、背景より明るく、形状は不明瞭。,True,False,5.33,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央やや下"",
  ""description"": ""小さな光点、背景より明るく、形状は不明瞭。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0005,B_small_unclear,R02-026,#2_026,data/vlm_eval_set/20260625/images/vlm_0005_DOW-UAP-PR039_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,False,0.1,中央やや右上,不明瞭な形状、暗い背景に浮かぶ,True,False,0.87,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや右上"",
  ""description"": ""不明瞭な形状、暗い背景に浮かぶ"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0006,B_small_unclear,R02-026,#2_026,data/vlm_eval_set/20260625/images/vlm_0006_DOW-UAP-PR039_Unresolved_UAP_Report_Middle_East_2020_frame_0005.png,False,0.1,中央やや右上,不明瞭な形状、暗い背景に浮かぶ,True,False,5.38,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや右上"",
  ""description"": ""不明瞭な形状、暗い背景に浮かぶ"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0007,C_no_visible_target,R02-027,#2_027,data/vlm_eval_set/20260625/images/vlm_0007_DOW-UAP-PR040_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,False,0.1,中央やや上部,不明瞭な形状、雲のような背景と区別困難。,True,False,0.85,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや上部"",
  ""description"": ""不明瞭な形状、雲のような背景と区別困難。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0008,C_no_visible_target,R02-027,#2_027,data/vlm_eval_set/20260625/images/vlm_0008_DOW-UAP-PR040_Unresolved_UAP_Report_Middle_East_2020_frame_0005.png,False,0.1,中央,不明瞭な雲のような形状、背景との区別は困難,True,False,5.31,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央"",
  ""description"": ""不明瞭な雲のような形状、背景との区別は困難"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0009,C_no_visible_target,R02-027,#2_027,data/vlm_eval_set/20260625/images/vlm_0009_DOW-UAP-PR040_Unresolved_UAP_Report_Middle_East_2020_frame_0010.png,False,0.1,中央やや下,不明瞭な光のスポット,True,False,5.24,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや下"",
  ""description"": ""不明瞭な光のスポット"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
vlm_0010,B_small_unclear,R02-028,#2_028,data/vlm_eval_set/20260625/images/vlm_0010_DOW-UAP-PR041_Unresolved_UAP_Report_Middle_East_2020_frame_0000.png,False,0.1,中央やや右上,不明瞭な光のスポット,True,False,5.31,True,"{
  ""visible_candidate"": false,
  ""confidence"": 0.1,
  ""location"": ""中央やや右上"",
  ""description"": ""不明瞭な光のスポット"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
