sample_id,article_id,slug,image_path,frame_name,is_baseline_equivalent,visible_candidate,confidence,location,description,visual_confirmation_only,speculation,response_time_sec,parse_success,raw_response
R02-045_frame_0000,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0000.png,frame_0000.png,True,True,0.9,中央上部,紫色の光点が描かれた円形の範囲内に存在する。,True,False,5.65,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.9,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が描かれた円形の範囲内に存在する。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0003,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0003.png,frame_0003.png,False,True,0.8,中央上部,紫色の光点が描かれた円形の対象物,True,False,5.63,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が描かれた円形の対象物"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0006,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0006.png,frame_0006.png,True,True,0.8,中央上部,紫色の光点が描かれた円内に位置する,True,False,5.66,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が描かれた円内に位置する"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0009,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0009.png,frame_0009.png,True,True,0.8,中央上部,紫色の光点が描かれた円形の範囲内に位置する,True,False,5.7,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が描かれた円形の範囲内に位置する"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0012,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0012.png,frame_0012.png,False,True,0.8,中央上部,ピンク色の光点が円を描く動き,True,False,5.56,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""ピンク色の光点が円を描く動き"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0015,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0015.png,frame_0015.png,True,True,0.8,中央上部,紫色の光点が円を描く動き,True,False,5.62,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が円を描く動き"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0018,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0018.png,frame_0018.png,False,True,0.8,中央上部,紫色の光点が描かれた円形の動き,True,False,5.65,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点が描かれた円形の動き"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0021,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0021.png,frame_0021.png,True,True,0.8,中央上部,紫色の光線と交差する点,True,False,5.53,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光線と交差する点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0024,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0024.png,frame_0024.png,True,True,0.7,中央上部,紫色の光線と中心に小さな点,True,False,5.42,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.7,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光線と中心に小さな点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0027,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0027.png,frame_0027.png,False,True,0.8,中央上部,紫色の光線と中心にピンク色の光点,True,False,5.36,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光線と中心にピンク色の光点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0030,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0030.png,frame_0030.png,True,True,0.8,中央上部,紫色の光点と周囲の動き,True,False,5.43,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光点と周囲の動き"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0033,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0033.png,frame_0033.png,False,True,0.8,中央上部,ピンク色の光点が円を描く動き,True,False,5.63,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""ピンク色の光点が円を描く動き"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0036,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0036.png,frame_0036.png,True,True,0.8,中央,赤い円内の光点,True,False,5.55,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央"",
  ""description"": ""赤い円内の光点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0039,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0039.png,frame_0039.png,True,True,0.8,中央,赤い円内の光点,True,False,5.53,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央"",
  ""description"": ""赤い円内の光点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0042,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0042.png,frame_0042.png,False,True,0.8,中央,赤い円内の光点,True,False,5.54,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央"",
  ""description"": ""赤い円内の光点"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0045,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0045.png,frame_0045.png,True,True,0.8,中央上部,ピンク色の光点が存在する,True,False,5.38,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""ピンク色の光点が存在する"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0048,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0048.png,frame_0048.png,False,True,0.8,中央,小さな光点が中心に位置する,True,False,5.25,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央"",
  ""description"": ""小さな光点が中心に位置する"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
R02-045_frame_0051,R02-045,DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020,data/adaptive_frames/20260626/DOW-UAP-PR045_Unresolved_UAP_Report_Middle_East_2020/frame_0051.png,frame_0051.png,True,True,0.8,中央上部,紫色の光線と中心に小さな光点が確認できる。,True,False,5.31,True,"{
  ""visible_candidate"": true,
  ""confidence"": 0.8,
  ""location"": ""中央上部"",
  ""description"": ""紫色の光線と中心に小さな光点が確認できる。"",
  ""visual_confirmation_only"": true,
  ""speculation"": false
}"
